AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Sex,Intact,hasName,Mix,isOneColored
A671945,Hambone,2014-02-12 18:22:00,Return_to_owner,,Dog,Neutered Male,365,Shetland Sheepdog Mix,Brown/White,Male,0,1,1,0
A656520,Emily,2013-10-13 12:44:00,Euthanasia,Suffering,Cat,Spayed Female,365,Domestic Shorthair Mix,Cream Tabby,Female,0,1,1,1
A686464,Pearce,2015-01-31 12:28:00,Adoption,Foster,Dog,Neutered Male,730,Pit Bull Mix,Blue/White,Male,0,1,1,0
A683430,,2014-07-11 19:09:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Blue Cream,Male,1,0,1,1
A667013,,2013-11-15 12:52:00,Transfer,Partner,Dog,Neutered Male,730,Lhasa Apso/Miniature Poodle,Tan,Male,0,0,0,1
A677334,Elsa,2014-04-25 13:04:00,Transfer,Partner,Dog,Intact Female,30,Cairn Terrier/Chihuahua Shorthair,Black/Tan,Female,1,1,0,0
A699218,Jimmy,2015-03-28 13:11:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Blue Tabby,Male,1,1,1,1
A701489,,2015-04-30 17:02:00,Transfer,Partner,Cat,Unknown,21,Domestic Shorthair Mix,Brown Tabby,NaN,NaN,0,1,1
A671784,Lucy,2014-02-04 17:17:00,Adoption,,Dog,Spayed Female,150,American Pit Bull Terrier Mix,Red/White,Female,0,1,1,0
A677747,,2014-05-03 07:48:00,Adoption,Offsite,Dog,Spayed Female,365,Cairn Terrier,White,Female,0,0,1,1
A668402,,2013-12-05 15:50:00,Transfer,SCRP,Cat,Unknown,730,Domestic Shorthair Mix,Black,NaN,NaN,0,1,1
A666320,,2013-11-04 14:48:00,Adoption,,Dog,Spayed Female,730,Miniature Schnauzer Mix,Silver,Female,0,0,1,1
A684601,Rocket,2016-02-03 11:27:00,Adoption,Foster,Dog,Neutered Male,1460,Pit Bull Mix,Brown,Male,0,1,1,1
A704702,Scooter,2015-06-08 16:30:00,Return_to_owner,,Dog,Neutered Male,730,Yorkshire Terrier Mix,Black/Red,Male,0,1,1,0
A688584,Preston,2015-11-25 15:00:00,Return_to_owner,,Dog,Neutered Male,365,Great Pyrenees Mix,White/Cream,Male,0,1,1,0
A678825,Oliver,2014-07-12 12:10:00,Adoption,Foster,Cat,Neutered Male,90,Domestic Shorthair Mix,Orange Tabby/White,Male,0,1,1,0
A678050,,2014-05-03 16:15:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Brown Tabby,Male,1,0,1,1
A680028,,2014-06-07 12:54:00,Transfer,Partner,Dog,Intact Female,14,Pit Bull Mix,Brown/White,Female,1,0,1,0
A679010,Chrissy,2014-05-17 11:32:00,Transfer,Partner,Cat,Intact Female,730,Angora Mix,White,Female,1,1,1,1
A684787,Kuma,2014-07-30 17:34:00,Return_to_owner,,Dog,Neutered Male,365,Flat Coat Retriever Mix,Black,Male,0,1,1,1
A670658,Anders,2014-01-19 15:03:00,Transfer,Partner,Dog,Intact Male,60,Queensland Heeler Mix,Black/White,Male,1,1,1,0
A708812,Munchkin,2015-09-18 15:19:00,Transfer,Partner,Cat,Spayed Female,365,Domestic Shorthair Mix,White,Female,0,1,1,1
A705262,Jamaica,2015-08-15 14:22:00,Adoption,,Dog,Spayed Female,730,Plott Hound/Boxer,Brown Brindle/White,Female,0,1,0,0
A665781,Quattro,2013-10-28 16:32:00,Adoption,,Dog,Neutered Male,300,German Shepherd Mix,Brown/White,Male,0,1,1,0
A676333,Trigger,2014-04-09 17:44:00,Return_to_owner,,Dog,Neutered Male,60,German Shepherd Mix,Black/Brown,Male,0,1,1,0
A712750,Olive,2015-10-03 15:44:00,Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair Mix,Orange Tabby,Female,1,1,1,1
A718832,Nia,2016-01-15 17:31:00,Adoption,,Dog,Spayed Female,180,American Staffordshire Terrier Mix,Chocolate/White,Female,0,1,1,0
A698777,Chloe,2015-03-25 18:50:00,Adoption,,Dog,Spayed Female,1825,Chihuahua Shorthair Mix,White/Tan,Female,0,1,1,0
A715348,Cymbale,2015-11-21 13:01:00,Adoption,,Cat,Spayed Female,60,Domestic Shorthair Mix,Cream Tabby/White,Female,0,1,1,0
A708666,Jax,2015-07-30 14:30:00,Return_to_owner,,Cat,Neutered Male,2555,Russian Blue Mix,Blue,Male,0,1,1,1
A718535,,2016-01-01 13:57:00,Euthanasia,Suffering,Cat,Spayed Female,1095,Domestic Shorthair Mix,Calico,Female,0,0,1,1
A707341,Murphy,2015-07-15 15:25:00,Transfer,Partner,Dog,Intact Male,120,Labrador Retriever Mix,Black/White,Male,1,1,1,0
A682532,,2014-07-03 17:01:00,Adoption,,Cat,Spayed Female,60,Domestic Shorthair Mix,Torbie,Female,0,0,1,1
A666825,Jesse,2013-11-08 13:24:00,Return_to_owner,,Dog,Neutered Male,1825,Collie Smooth/German Shepherd,Brown/Black,Male,0,1,0,0
A699723,Delgado,2015-04-11 16:01:00,Transfer,Partner,Dog,Neutered Male,1095,Chihuahua Shorthair Mix,Brown,Male,0,1,1,1
A668626,,2013-12-06 14:55:00,Euthanasia,Suffering,Dog,Intact Male,1095,Labrador Retriever Mix,Yellow,Male,1,0,1,1
A657085,Pony Boy,2013-10-24 11:22:00,Return_to_owner,,Dog,Neutered Male,1095,Pit Bull Mix,Brown/White,Male,0,1,1,0
A682413,,2014-07-02 13:37:00,Transfer,Partner,Cat,Intact Male,60,Domestic Shorthair Mix,Blue/White,Male,1,0,1,0
A702655,Mica,2015-08-11 00:00:00,Transfer,Partner,Cat,Neutered Male,120,Domestic Shorthair Mix,Black/White,Male,0,1,1,0
A707503,,2015-07-14 12:16:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Brown Tabby,Male,1,0,1,1
A697199,Pilar,2015-04-04 17:26:00,Adoption,,Cat,Spayed Female,2555,Domestic Shorthair Mix,Blue Tabby,Female,0,1,1,1
A705598,,2015-06-23 13:25:00,Transfer,Partner,Cat,Intact Male,60,Domestic Shorthair Mix,Orange Tabby,Male,1,0,1,1
A668388,Lucy,2013-12-09 15:04:00,Transfer,Partner,Cat,Intact Female,60,Domestic Shorthair Mix,Brown Tabby,Female,1,1,1,1
A671181,,2014-01-21 15:15:00,Transfer,SCRP,Cat,Intact Male,1460,Domestic Longhair Mix,Black/White,Male,1,0,1,0
A676766,Ali,2014-05-28 15:52:00,Adoption,,Cat,Neutered Male,730,Domestic Shorthair Mix,Black/White,Male,0,1,1,0
A686716,Chester,2014-08-27 07:50:00,Return_to_owner,,Dog,Neutered Male,4380,Beagle,Tricolor,Male,0,1,1,1
A684475,Daisy,2014-08-05 11:15:00,Return_to_owner,,Cat,Spayed Female,3285,Domestic Shorthair Mix,White/Black,Female,0,1,1,0
A701804,,2015-05-05 11:46:00,Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair Mix,Black,Female,1,0,1,1
A697852,Edith,2015-03-09 17:57:00,Adoption,,Dog,Spayed Female,150,German Shepherd Mix,Black/Brown,Female,0,1,1,0
A666092,,2013-10-30 15:37:00,Euthanasia,Aggressive,Dog,Intact Male,2190,Pit Bull/Labrador Retriever,Chocolate/White,Male,1,0,0,0
A684050,,2014-07-28 09:00:00,Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair Mix,Tortie,Female,1,0,1,1
A710107,Caty,2015-10-19 18:58:00,Adoption,,Cat,Spayed Female,90,Domestic Shorthair Mix,Brown Tabby,Female,0,1,1,1
A682347,,2014-06-26 17:16:00,Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair Mix,Blue Tabby/White,Female,1,0,1,0
A701627,Gabe,2015-05-14 12:07:00,Adoption,,Dog,Neutered Male,730,Blue Lacy Mix,Gray/White,Male,0,1,1,0
A690902,Beth,2014-11-18 16:05:00,Adoption,,Cat,Spayed Female,60,Domestic Shorthair Mix,Orange Tabby/White,Female,0,1,1,0
A712979,,2015-10-04 15:02:00,Transfer,Partner,Cat,Intact Male,7,Domestic Shorthair Mix,Black,Male,1,0,1,1
A707687,Bashful,2015-08-16 13:52:00,Adoption,,Cat,Spayed Female,60,Domestic Shorthair Mix,Calico,Female,0,1,1,1
A683443,,2014-07-18 16:23:00,Transfer,Partner,Dog,Intact Male,365,Chihuahua Shorthair Mix,Tan,Male,1,0,1,1
A597644,Lola,2014-09-16 14:05:00,Return_to_owner,,Dog,Spayed Female,1460,Black Mouth Cur Mix,Tan/Black,Female,0,1,1,0
A682784,Sugar,2014-07-07 12:38:00,Adoption,,Dog,Neutered Male,730,Dachshund/Beagle,Brown/White,Male,0,1,0,0
A709863,Orangejello,2015-08-19 13:32:00,Transfer,Partner,Cat,Intact Male,365,Domestic Shorthair Mix,Orange Tabby/White,Male,1,1,1,0
A678506,Prec Punkin',2014-05-09 18:07:00,Euthanasia,Suffering,Dog,Spayed Female,4015,Yorkshire Terrier Mix,Brown/Black,Female,0,1,1,0
A713029,Wilma,2015-10-06 15:07:00,Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair Mix,Black,Female,1,1,1,1
